,Invoice_#,Clerk,SKU,Name,Quantity,Net_Price,Total_Sale,COGS,Profit,Margin,Tender
509,93813B,41,R2215R," R-22/15"" ROXUL INSULATIO",1.0,73.95,73.95,55.36,18.59,25.1,"CHA-0758
"
510,94136B,23,HC2000, POLY CLR HEAVY 2000' ROL,2.0,59.99,119.98,70.94,49.04,40.9,Visa
511,94158A,41,R1415R," R-14/15"" ROXUL INSULATIO",1.0,70.95,70.95,53.72,17.23,24.3,"CHA-724
"
512,94170B,06,115696," UV POLY 16"" 500 SQFT",2.0,46.69,93.38,59.34,34.04,36.5,"CHA-0217
"
513,94172B,06,HC2000, POLY CLR HEAVY 2000' ROL,1.0,59.99,59.99,35.47,24.52,40.9,"CHA-JREXCAV
"
514,94172B,06,HEAVY1000,HEAVY POLY 1000 SQ FT,1.0,31.19,31.19,20.71,10.48,33.6,"CHA-JREXCAV
"
515,94251B,23,R1415R," R-14/15"" ROXUL INSULATIO",1.0,70.95,70.95,53.72,17.23,24.3,Debit
516,94354B,23,SM12," 1/2"" SM 2X8 SHEET",2.0,11.95,23.9,13.5,10.4,43.5,"CHA-61
"
517,94651B,41,LC1500, POLY CLR LIGHT 1500,1.0,17.49,17.49,11.87,5.62,32.1,Visa
518,94830B,66,6MILUV1000, ROLL 6 MIL UVB 1000 CGSB,2.0,79.95,159.9,106.74,53.16,33.2,"CHA-KIMMEL
"
519,94948B,77,R1415R," R-14/15"" ROXUL INSULATIO",1.0,70.95,70.95,53.72,17.23,24.3,Mastercard
520,94984A,66,MC500,POLY CLR MEDIUM 500',1.0,12.99,12.99,7.31,5.68,43.7,"CHA-48
"
521,94987B,06,SM1,"SM 1"" STYROFOAM R5",2.0,21.99,43.98,27.02,16.96,38.6,"CHA-181
"
522,95097B,66,6MILUV500,6MIL UV POLY 500' CLRCGS,1.0,40.89,40.89,27.4,13.49,33.0,Debit
523,95166B,66,6MILUV2000, POLY UV VAPOUR BARRIER 2,1.0,155.95,155.95,107.57,48.38,31.0,"CHA-1245
"
524,95261B,06,R1415R," R-14/15"" ROXUL INSULATIO",2.0,70.95,141.9,107.44,34.46,24.3,"CHA-0204
"
525,95283B,06,6MILUV2000, POLY UV VAPOUR BARRIER 2,1.0,155.95,155.95,107.57,48.38,31.0,"CHA-1078
"
526,95321B,06,R1415R," R-14/15"" ROXUL INSULATIO",1.0,70.95,70.95,53.72,17.23,24.3,"CHA-LAPRESH
"
527,95345B,77,6MILUV2000, POLY UV VAPOUR BARRIER 2,1.0,155.95,155.95,107.57,48.38,31.0,Visa
528,95432B,06,SM1,"SM 1"" STYROFOAM R5",3.0,21.99,65.97,40.53,25.44,38.6,"CHA-0984
"
529,95456B,23,SM12," 1/2"" SM 2X8 SHEET",1.0,11.95,11.95,6.75,5.2,43.5,"CHA-NATURAL
"
530,95500B,23,SM112,"SM 1 1/2"" STYROFOAM R7.5",1.0,28.99,28.99,16.21,12.78,44.1,"CHA-699
"
531,95722B,06,HC500,POLY CLR HEAVY 500',1.0,16.89,16.89,10.61,6.28,37.2,"CHA-0792
"
532,95799B,77,6MILUV500,6MIL UV POLY 500' CLRCGS,1.0,35.0,35.0,27.4,7.6,21.7,Visa
533,95799B,77,R1415R," R-14/15"" ROXUL INSULATIO",1.0,70.95,70.95,53.72,17.23,24.3,Visa
534,95861B,06,R1415R," R-14/15"" ROXUL INSULATIO",2.0,70.95,141.9,107.44,34.46,24.3,"CHA-0204
"
535,95869A,06,DRAFTSEAL,NO MORE DRAFTS REMOVABLE,2.0,12.99,25.98,16.16,9.82,37.8,Cash
536,95930A,23,SM1,"SM 1"" STYROFOAM R5",1.0,21.99,21.99,13.51,8.48,38.6,"CHA-0984
"
537,95930A,23,SM12," 1/2"" SM 2X8 SHEET",2.0,11.95,23.9,13.5,10.4,43.5,"CHA-0984
"
538,95967B,23,SM1,"SM 1"" STYROFOAM R5",2.0,21.99,43.98,27.02,16.96,38.6,"CHA-61
"
