,Invoice_#,Clerk,SKU,Name,Quantity,Net_Price,Total_Sale,COGS,Profit,Margin,Tender
3426,92457A,23,0544CA, RED DEVIL ONETIME LT WT,1.0,11.99,11.99,6.23,5.76,48.0,Debit
3427,92462B,23,2080240,175D BRASS COMBINATION P,1.0,27.99,27.99,15.99,12.0,42.9,"CHA-VISIONB
"
3428,92466B,23,OX-P233001," 7"" OX PRO STRAIGHT SNIPS",1.0,32.99,32.99,16.79,16.2,49.1,Visa
3429,92466B,23,2140412,"4-1/2"" ULTRA THIN CUTTIN",2.0,5.99,11.98,5.86,6.12,51.1,Visa
3430,92471B,23,OX-P503201, TUFF CARBON PENCIL,1.0,16.99,16.99,11.99,5.0,29.4,Cash
3431,92476B,06,0355616,TOUCH N FOAM GUN CLEANER,1.0,15.99,15.99,8.9,7.09,44.3,"CHA-1156
"
3432,92476B,06,NP1WHT, NP1 WHITE 300ML,4.0,11.99,47.96,29.6,18.36,38.3,"CHA-1156
"
3433,92477A,41,0164073,SYNKO REDI-FILLER 1.8L,1.0,11.99,11.99,7.73,4.26,35.5,Debit
3434,92478B,06,5121793,GORILLA GLUE EPOXY SYRIN,1.0,10.99,10.99,4.05,6.94,63.1,Visa
3435,92478B,06,2780880,CANTECH MOUNTING TAPE 18,1.0,5.99,5.99,2.86,3.13,52.3,Visa
3436,92494B,06,TRU31173," 45"" SHOVEL LONG HAND ROU",2.0,22.99,45.98,21.28,24.7,53.7,"CHA-699
"
3437,92494B,06,RCPS3.5HDG, SIMPSON POST SADDLE 4 X,8.0,8.59,68.72,38.24,30.48,44.4,"CHA-699
"
3438,92494B,06,02HF30101,HANDI FOAM 20OZ,1.0,19.99,19.99,10.37,9.62,48.1,"CHA-699
"
3439,92494B,06,2022791,HILTI EPOXY HIT HY 200A,1.0,79.39,79.39,58.82,20.57,25.9,"CHA-699
"
3440,92497B,06,07-JB8265,JB WELD REGULAR,1.0,9.891,9.89,4.78,5.11,51.7,Cash
3441,92497B,06,B14603," 1/4"" BRAD POINT DRILL BI",2.0,4.491,8.98,5.04,3.94,43.9,Cash
3442,92503B,23,496GRI6BC,6X8 GREY SHELF BRACKET,2.0,1.99,3.98,1.54,2.44,61.3,Debit
3443,92503B,23,840086, HULTAFORS LARGE HATCHET,1.0,81.99,81.99,57.1,24.89,30.4,Debit
3444,92505B,23,0333793,"1/2"" RUBBER LEG TIPS",-1.0,-4.19,-4.19,-2.05,-2.14, -51.1,Cash
3445,92505B,23,3452323,"5/8"" RUBBER LEG TIPS BLA",1.0,3.49,3.49,1.66,1.83,52.4,Cash
3446,92506B,06,02-5300026, MARINE EPOXY PASTE GOOP,-1.0,-20.99,-20.99,-9.93,-11.06, -52.7,Mastercard
3447,92507B,23,HUC210-2, SIMPSON 2X10 DOUBLE CONC,3.0,22.99,68.97,26.22,42.75,62.0,"CHA-0485
"
3448,92512B,66,911SP50G, SANDPAPER BULK GARNET 50,1.0,1.09,1.09,0.51,0.58,53.2,Mastercard
3449,92512B,66,911SP80G, SANDPAPER BULK GARNET 80,2.0,1.29,2.58,0.84,1.74,67.4,Mastercard
3450,92512B,66,911SP120G,SANDPAPER BULK GARNET 12,2.0,0.99,1.98,0.68,1.3,65.7,Mastercard
3451,92512B,66,12.019, 3M MASKING TAPE 48X55M T,1.0,7.99,7.99,2.22,5.77,72.2,Mastercard
3452,92517B,23,26039,"1/2"" KEYLESS DRILL CHUCK",-1.0,-29.99,-29.99,-17.71,-12.28, -40.9,"CHA-620
"
3453,92519B,23,26039,"1/2"" KEYLESS DRILL CHUCK",1.0,0.0,0.0,17.71,-17.71, -99.9,"CHA-2240420
"
3454,92520B,06,330009," M5BLCDHC MAGNUM 2"" LAM P",1.0,29.99,29.99,16.97,13.02,43.4,"CHA-620
"
3455,92520B,06,565GAR," 565GA-R 5"" BARREL BOLT G",1.0,29.99,29.99,15.53,14.46,48.2,"CHA-620
"
3456,92520B,06,/H, key rings,2.0,0.29,0.58,0.32,0.26,44.8,"CHA-620
"
3457,92524B,06,MSTA36Z,SIMPSON MSTA36Z 1 1/4 X,1.0,9.69,9.69,4.85,4.84,49.9,"CHA-266
"
3458,92527B,23,07.015, DESK GROMMET BLACK,1.0,7.49,7.49,3.8,3.69,49.3,"CHA-48
"
3459,92529B,06,E255," EMPIRE 6"" COMBINATION SQ",1.0,18.99,18.99,9.66,9.33,49.1,Visa
3460,92529B,06,150/46, PIKA DEEP-HOLE BLACK MAR,1.0,10.99,10.99,6.12,4.87,44.3,Visa
3461,92530B,06,PKTZ834VP,"#8X3/4"" PH TEK SCREWS 10",1.0,12.39,12.39,6.16,6.23,50.3,"CHA-1185
"
3462,92531B,06,7050, H REPLACEMENT LEAD 0.9,1.0,7.99,7.99,3.99,4.0,50.1,Debit
3463,92531B,06,7070, PICA FINE DRY PENCIL,1.0,19.99,19.99,11.98,8.01,40.1,Debit
3464,92533B,06,TARP1015, 10X15 WHITE TARP,1.0,14.99,14.99,8.21,6.78,45.2,"CHA-1243
"
3465,92536B,23,SDS,SIMPSON STRONG DRIVE SCR,0.49,79.99,39.2,20.75,18.45,47.1,Visa
3466,92536B,23,FW, FENDER WASHER ZP BULK,0.32,26.991,8.64,0.0,8.64, 100.0,Visa
3467,92537B,06,CA14VP, 1/4X1 CONICAL ANCHOR,1.0,8.59,8.59,4.27,4.32,50.3,"CHA-0217
"
3468,92537B,06,PKAS81VP," #8X1"" PAN HEAD SS SCREWS",1.0,23.99,23.99,12.6,11.39,47.5,"CHA-0217
"
3469,92539A,06,116HS,"HORSESHOE SHIM 1/16"" BLU",2.0,9.99,19.98,9.84,10.14,50.8,"CHA-NATURAL
"
3470,92540B,23,396536," 3/8"" ARROW STAPLES T-50",1.0,4.99,4.99,2.58,2.41,48.3,"CHA-48
"
3471,92540B,23,BARGUARD, ORANGE MUSHROOM REBAR CA,250.0,0.49,122.5,50.0,72.5,59.2,"CHA-48
"
3472,92541B,23,822NBB," 4"" BUTT HINGE",2.0,11.79,23.58,11.74,11.84,50.2,"CHA-48
"
3473,92542B,23,396536," 3/8"" ARROW STAPLES T-50",-1.0,-4.99,-4.99,-2.58,-2.41, -48.3,"CHA-48
"
3474,92542B,23,BARGUARD, ORANGE MUSHROOM REBAR CA,-250.0,-0.49,-122.5,-50.0,-72.5, -59.2,"CHA-48
"
3475,92543B,06,396536," 3/8"" ARROW STAPLES T-50",1.0,4.99,4.99,2.58,2.41,48.3,"CHA-48
"
3476,92543B,06,BARGUARD, ORANGE MUSHROOM REBAR CA,150.0,0.49,73.5,30.0,43.5,59.2,"CHA-48
"
3477,92546B,06,PM200134LX," MAGNETIC LATCH 3/4""STAIN",2.0,9.99,19.98,10.78,9.2,46.0,"CHA-418
"
3478,92546B,06,PM2001M,"MAGNETIC LATCH 3/4""STAIN",1.0,9.99,9.99,5.53,4.46,44.6,"CHA-418
"
3479,92546B,06,97X20-BC, 2X5/8 CORNER BRACE ZINC,10.0,0.99,9.9,4.7,5.2,52.5,"CHA-418
"
3480,92546B,06,DMAPL2130,1/4X2X4 DB SDS,1.0,7.99,7.99,3.94,4.05,50.7,"CHA-418
"
3481,92546B,06,HPS141," HPS 1/4 X 1"" ANCHOR",24.0,0.79,18.96,8.64,10.32,54.4,"CHA-418
"
3482,92546B,06,#4030,PICA DRY REFILL SET GRAP,1.0,9.99,9.99,7.22,2.77,27.7,"CHA-418
"
3483,92546B,06,3030, PICA-DRY AUTOMATIC PENCI,1.0,17.99,17.99,10.58,7.41,41.2,"CHA-418
"
3484,92552B,06,CF-IXTW,SPRAY FOAM EXTREME WEATH,2.0,34.99,69.98,48.7,21.28,30.4,"CHA-0346
"
3485,92552B,06,0355616,TOUCH N FOAM GUN CLEANER,1.0,15.99,15.99,8.9,7.09,44.3,"CHA-0346
"
3486,92552B,06,0355621,TOUCH N FOAM APPLICATOR,1.0,72.99,72.99,45.96,27.03,37.0,"CHA-0346
"
3487,92554B,23,LBB-10B,OLFA BLADE 18MM BLACK 10,1.0,13.99,13.99,6.95,7.04,50.3,"CHA-1185
"
3488,92554B,23,PW100-9IN,"PROTECTO 9"" X 75' ROLL",1.0,74.99,74.99,49.38,25.61,34.2,"CHA-1185
"
3489,92556B,23,0228164,"8"" HANDY PACK SHIMS",3.0,3.99,11.97,3.54,8.43,70.4,Mastercard
3490,92557B,23,421418, PRO CONTRACTOR QUART GUN,1.0,37.99,37.99,20.01,17.98,47.3,"CHA-444
"
3491,92559B,06,622748, GORILLA TAPE 48MM X 32M,1.0,18.99,18.99,11.46,7.53,39.7,Mastercard
3492,92559B,06,RAMBOARD, FLOOR PROTECTION PAPER R,1.0,65.95,65.95,45.79,20.16,30.6,Mastercard
3493,92565B,06,WASHER, ASSORTED WASHERS,0.22,19.99,4.4,2.28,2.12,48.2,"CHA-1218
"
3494,92566B,23,7519861,DEWALT HEX SOCKET BIT 7M,1.0,5.391,5.39,2.55,2.84,52.7,Debit
3495,92568B,23,MAXBAG, CONTRACTOR GARBAGE BAGS,1.0,34.99,34.99,20.01,14.98,42.8,"CHA-530
"
3496,92574B,06,PHLIP43PK,"SQ/PH 4"" #1,2,3 PACK OF",1.0,26.99,26.99,16.95,10.04,37.2,Debit
3497,92575B,06,88154B, HEX METRIC PICQUIC RED,1.0,16.99,16.99,4.76,12.23,72.0,Visa
3498,92580B,23,SC, STUCCO CLIPS,10.0,1.69,16.9,8.5,8.4,49.7,"CHA-1156
"
3499,92583B,23,22248,OUTDOOR ONLY BLUE TUCK T,1.0,12.99,12.99,8.14,4.85,37.3,"CHA-758
"
3500,92583B,23,50-102," FREUD 1/2"" ROUTER BIT",1.0,43.99,43.99,21.98,22.01,50.0,"CHA-758
"
3501,92583B,23,T51052," 3/8"" STAINLESS T-50 STAP",1.0,11.99,11.99,6.61,5.38,44.9,"CHA-758
"
3502,92583B,23,7344799,OSI FIRE BLOCK SPRAY FOA,3.0,22.99,68.97,36.69,32.28,46.8,"CHA-758
"
3503,92587B,06,300000352,WINDOW FLASHING TAPE 60M,1.0,89.99,89.99,57.89,32.1,35.7,"CHA-388
"
3504,92594B,06,MSTA18Z,SIMPSON MSTA18Z 1 1/4 X,8.0,3.59,28.72,14.0,14.72,51.3,"CHA-626
"
3505,92594B,06,GRKRSS, GRK RSS STRUCTURAL SCREW,0.12,84.99,10.2,4.26,5.94,58.2,"CHA-626
"
3506,92595B,23,MST48,SIMPSON MST48 2 1/16 X 4,2.0,30.99,61.98,30.88,31.1,50.2,"CHA-699
"
3507,92595B,23,5027," 12"" SAWZALL MILWAUKE BLA",1.0,9.99,9.99,4.0,5.99,60.0,"CHA-699
"
3508,92595B,23,MST72,"MEDIUM STRAP TIE 72""",1.0,62.99,62.99,31.51,31.48,50.0,"CHA-699
"
3509,92596B,23,650110, HULTAFORS REFILL BLACK,1.0,9.99,9.99,6.21,3.78,37.8,Debit
3510,92598B,06,31758,"42"" D HAND SCRAPER 4"" HD",1.0,49.99,49.99,26.99,23.0,46.0,Cash
3511,92598B,06,396534," T50 5/16"" ARROW STAPLES",1.0,4.99,4.99,2.44,2.55,51.1,Cash
3512,92598B,06,25614,"3/8X10"" SDS PLUS BIT",2.0,9.99,19.98,5.42,14.56,72.9,Cash
3513,92601B,23,LAGS, BULK LAG BOLTS BY KILO,0.44,19.99,8.8,3.43,5.37,61.0,Mastercard
3514,92603B,06,DHS2000,"DIABLO HOLE SAW 2""",2.0,15.59,31.18,15.9,15.28,49.0,"CHA-58
"
3515,92603B,06,DHSAR375, 3PC SNAP-LOCK MANDREL SY,4.0,23.99,95.96,48.24,47.72,49.7,"CHA-58
"
3516,92603B,06,DHS2125,DIABLO HOLE SAW 2-1/8 BI,3.0,16.99,50.97,25.53,25.44,49.9,"CHA-58
"
3517,92603B,06,TI2135IM, BOSCH IMPACT TITANIUM DR,4.0,4.39,17.56,8.44,9.12,51.9,"CHA-58
"
3518,92603B,06,IMD1001,"1/8"" IMPACT DRILL BIT",1.0,6.99,6.99,3.3,3.69,52.8,"CHA-58
"
3519,92603B,06,1054702,"EAB HOLE SAW 2"" BI-METAL",1.0,19.99,19.99,11.99,8.0,40.0,"CHA-58
"
3520,92604A,23,389384," 6"" ERGO TAPING KNIFE FLE",1.0,19.99,19.99,12.65,7.34,36.7,"CHA-0711
"
3521,92604A,23,389376," 4"" ERGO TAPING KNIFE FLE",1.0,18.99,18.99,11.44,7.55,39.8,"CHA-0711
"
3522,92604A,23,GREEN1," GREEN PAINTERS TAPE 1""x",2.0,4.99,9.98,5.74,4.24,42.5,"CHA-0711
"
3523,92606A,06,355622, TOUCH'N'FOAM FIRE BREAK,2.0,22.99,45.98,27.06,18.92,41.1,Cash
3524,92606A,06,4100NS850,4100NS FIRESTOP 850ML,2.0,26.99,53.98,38.1,15.88,29.4,Cash
3525,92607B,23,150/46, PIKA DEEP-HOLE BLACK MAR,2.0,10.99,21.98,12.24,9.74,44.3,"CHA-181
"
3526,92607B,23,SC5005," 5"" X 7/8"" SURFACE CONDIT",1.0,14.49,14.49,7.31,7.18,49.6,"CHA-181
"
3527,92607B,23,570-05-300, BAKOR POLYBITUME CAULKIN,1.0,12.99,12.99,8.38,4.61,35.5,"CHA-181
"
3528,92607B,23,WASHER, ASSORTED WASHERS,0.33,19.99,6.6,3.42,3.18,48.2,"CHA-181
"
3529,92607B,23,203027, INVERTED MARKING PAINT O,1.0,13.99,13.99,5.92,8.07,57.7,"CHA-181
"
3530,92607B,23,2231460,KB1 1/2X5-1/2 KWIK BOLT,1.0,89.99,89.99,60.52,29.47,32.7,"CHA-181
"
3531,92607B,23,D031185,FEIN BI METAL 29MM,2.0,21.99,43.98,14.66,29.32,66.7,"CHA-181
"
3532,92611B,23,Z4UM05-2, NOUR MOBLEND MINI ROLLER,2.0,4.99,9.98,0.0,9.98, 100.0,"CHA-61
"
3533,92611B,23,451602, COLORMAXX BLACK FLAT 340,1.0,16.99,16.99,9.1,7.89,46.4,"CHA-61
"
3534,92611B,23,02-K41603,COLORMAXX BLACK S/G 340G,2.0,16.99,33.98,20.24,13.74,40.4,"CHA-61
"
3535,92611B,23,421464, SCOTT BLUE SHOP TOWELS,1.0,3.69,3.69,2.51,1.18,32.0,"CHA-61
"
3536,92611B,23,7581689,"PROSOURCE 1 1/4"" PUTTY K",2.0,4.99,9.98,4.5,5.48,54.9,"CHA-61
"
3537,92611B,23,48052,1-1/4 FIBERGLASS REINFOR,1.0,5.49,5.49,2.35,3.14,57.2,"CHA-61
"
3538,92611B,23,48055,1-1/2 FIBERGLASS REINFOR,1.0,5.99,5.99,3.02,2.97,49.6,"CHA-61
"
3539,92612B,06,T017618,"7"" BUCKET TROWEL WOODEN",1.0,7.29,7.29,3.6,3.69,50.6,"CHA-315
"
3540,92613B,23,ABIRCH," 8' X 2"" BIRCH VENEER",1.0,6.29,6.29,3.1,3.19,50.7,Mastercard
3541,92619B,23,2022791,HILTI EPOXY HIT HY 200A,2.0,79.39,158.78,117.64,41.14,25.9,"CHA-VISIONB
"
3542,92620B,23,AC-521R,"3/4"" ALUMINIST CUTTER",1.0,29.99,29.99,17.78,12.21,40.7,Debit
3543,92625B,23,355606, TOUCH N' FOAM 12OZ GREEN,2.0,13.99,27.98,15.08,12.9,46.1,"CHA-1156
"
3544,92632A,06,WDWL2500LBL,CAM HANDLE+STRIKE LEFT B,1.0,37.99,37.99,25.53,12.46,32.8,Cash
3545,92633B,23,750116, HYDRAULIC WATER STOP CEM,1.0,25.99,25.99,15.03,10.96,42.2,"CHA-JREXCAV
"
3546,92633B,23,04-1794159," 9"" 50 MAGNETIC TORPEDO L",1.0,9.99,9.99,4.53,5.46,54.7,"CHA-JREXCAV
"
3547,92634B,06,STHT71802,HEX KEY SET FOLDING TORX,1.0,24.99,24.99,12.84,12.15,48.6,"CHA-0527
"
3548,92634B,06,1598945,HEX KEY SET SAE LONG BAL,1.0,31.99,31.99,20.0,11.99,37.5,"CHA-0527
"
3549,92634B,06,76700,SDCLP/SS-PRO IMPACT TORS,2.0,41.99,83.98,55.98,28.0,33.3,"CHA-0527
"
3550,92636B,06,T5002,BOSCH JIGSAW 10PACK,1.0,23.99,23.99,11.89,12.1,50.4,"CHA-0090
"
3551,92641B,06,NP1WHT, NP1 WHITE 300ML,24.0,11.99,287.76,177.6,110.16,38.3,"CHA-1245
"
3552,92646B,06,50353,CARTRIDGE 6.8/11M .27CAL,1.0,21.99,21.99,12.06,9.93,45.2,Visa
3553,92646B,06,25644,"1-1/2""x10""SDS HAMMER CHI",1.0,9.99,9.99,3.82,6.17,61.8,Visa
3554,92648B,06,02-F42118,FAMOWOOD 1/4PT FIR/MAPLE,1.0,8.99,8.99,4.62,4.37,48.6,"CHA-AWKENNE
"
3555,92651B,06,49-56-0509," 3/8"" DIAMOND HOLE SAW MI",1.0,32.99,32.99,18.37,14.62,44.3,"CHA-MEANEY
"
3556,92651B,06,T39014," 1/4"" PREMIUM GLASS & TIL",1.0,13.99,13.99,7.48,6.51,46.5,"CHA-MEANEY
"
3557,92652B,23,7100381,LEPAGE QUADMAX CAULKING,1.0,13.99,13.99,8.85,5.14,36.7,Cash
3558,92655B,23,RAMBOARD, FLOOR PROTECTION PAPER R,1.0,65.95,65.95,45.79,20.16,30.6,Visa
3559,92658B,06,VBW50,THINSET VERSABOND WHITE,1.0,29.99,29.99,17.99,12.0,40.0,Cash
3560,92665B,23,916429, 2P-10 THICK ADHESIVE 10o,1.0,61.99,61.99,40.91,21.08,34.0,"CHA-0471
"
3561,92665B,23,916453, 2P10 ACTIVATOR AEROSOL,1.0,21.99,21.99,12.27,9.72,44.2,"CHA-0471
"
3562,92669B,23,1242262,DUCT TAPE CLEAR 25M,2.0,13.491,26.98,15.12,11.86,44.0,Visa
3563,92669B,23,DSB1017,"BOSCH SPADE 1-1/4""X6""",2.0,7.191,14.38,7.74,6.64,46.2,Visa
3564,92669B,23,2123401,HILTI EPOXY HIT RE 500-V,1.0,66.59,66.59,49.28,17.31,26.0,Visa
3565,92669B,23,337111, HILTI MIXING NOZZLE HY/R,1.0,8.69,8.69,5.64,3.05,35.1,Visa
3566,92670B,23,RAMBOARD, FLOOR PROTECTION PAPER R,1.0,65.95,65.95,45.79,20.16,30.6,"CHA-MACANTA
"
3567,92671B,23,01-32424," 3/4""X3/4""X8' SATIN CLEAR",1.0,17.99,17.99,9.8,8.19,45.5,"CHA-159
"
3568,92672B,06,L-1,OLFA KNIFE 18MM HD L-1,1.0,11.99,11.99,6.58,5.41,45.1,Cash
3569,92677B,06,0228164,"8"" HANDY PACK SHIMS",2.0,3.99,7.98,2.36,5.62,70.4,Visa
3570,92677B,06,3240232,"2"" DRYWALL GUIDE COLLAR",1.0,3.19,3.19,1.61,1.58,49.5,Visa
3571,92679B,82,KEY,SINGLE KEY CUT,5.0,3.99,19.95,1.5,18.45,92.5,Visa
3572,92686B,23,142NMD, 14-2 NMD WIRE,-75.0,-1.99,-149.25,-108.0,-41.25, -27.6,"CHA-375
"
3573,92690B,06,310948, 10X12 WHITE SHELF BRACKE,4.0,3.99,15.96,4.36,11.6,72.7,Visa
3574,92690B,06,NUT,ASSORTED NUTS & BOLT & W,0.1,19.99,2.0,0.46,1.54,77.0,Visa
3575,92696A,23,L002771,50'LED STRING WORK LIGHT,2.0,124.99,249.98,140.22,109.76,43.9,"CHA-1245
"
3576,92699B,23,TGA14VVA, 1/4 ALLIGATOR POLY ANCHO,2.0,18.99,37.98,19.64,18.34,48.3,Mastercard
3577,92700B,23,TGST316212VDMX, 3/16 X 2-1/2 SNAP TOGGLE,1.0,20.99,20.99,10.52,10.47,49.9,Visa
3578,92704B,06,ZSB4U410, NOUR HD FOAM MINI ROLLER,1.0,9.99,9.99,0.0,9.99, 100.0,"CHA-61
"
3579,92710B,06,PKAZ1012MR, #10X1/2 METAL SCREWS PAN,1.0,3.29,3.29,1.61,1.68,51.1,"CHA-614
"
3580,92710B,06,26224,"4-1/2"" SEGMENTED RIM DIA",1.0,14.99,14.99,6.64,8.35,55.7,"CHA-614
"
3581,92711B,23,2140412,"4-1/2"" ULTRA THIN CUTTIN",2.0,5.99,11.98,5.86,6.12,51.1,"CHA-626
"
3582,92711B,23,PHLIP4," 4"" PHLIP BIT #1,2,3",2.0,7.95,15.9,9.9,6.0,37.7,"CHA-626
"
3583,92712B,23,389376," 4"" ERGO TAPING KNIFE FLE",1.0,18.99,18.99,11.44,7.55,39.8,Visa
3584,92714A,06,0213611,6 MIL POLY ROLL 10'X25',1.0,29.99,29.99,16.32,13.67,45.6,"CHA-0392
"
3585,92714A,06,E482505131500,"ERGOLASH 1"" X 13' RATCHE",1.0,19.99,19.99,11.04,8.95,44.8,"CHA-0392
"
3586,92714A,06,0389374,ERGO 9-IN-1 TOOL,1.0,19.99,19.99,10.43,9.56,47.8,"CHA-0392
"
3587,92715B,23,36624,"SELF FED BIT 2-1/8""",2.0,29.691,59.38,35.32,24.06,40.5,Visa
3588,92715B,23,DAG1140,"1-1/8"" X 7-1/2"" AUGER BI",1.0,15.291,15.29,9.43,5.86,38.3,Visa
3589,92715B,23,5027," 12"" SAWZALL MILWAUKE BLA",2.0,8.991,17.98,8.0,9.98,55.5,Visa
3590,92717B,23,255-5210, SHARK TOOTH BLADES,1.0,4.99,4.99,0.0,4.99, 100.0,Debit
3591,92718A,06,24-242, LED HEADLAMP PRIME-LITE,1.0,10.99,10.99,5.44,5.55,50.5,"CHA-216
"
3592,92719B,23,RAIN34," 3/4""x10' METAL RAIN SCRE",2.0,16.99,33.98,19.04,14.94,44.0,"CHA-0713
"
3593,92719B,23,205-02, INDOOR ONLY RED TUCK TAP,1.0,10.99,10.99,5.94,5.05,46.0,"CHA-0713
"
3594,92719B,23,TRAVELTACK, TRAVELTACK SPRAY PRIMER,1.0,21.99,21.99,13.22,8.77,39.9,"CHA-0713
"
3595,92720B,23,D053818WMX," 5 3/8"" / 18T FAST FRAMIN",1.0,23.49,23.49,12.18,11.31,48.1,Mastercard
3596,92726B,23,PHLIP4," 4"" PHLIP BIT #1,2,3",2.0,7.155,14.31,9.9,4.41,30.8,Visa
3597,92732B,23,MAR990S,"FINISHING TROWEL 11"" X 4",1.0,23.99,23.99,12.49,11.5,47.9,Visa
3598,92733B,06,LAGS, BULK LAG BOLTS BY KILO,0.09,17.991,1.62,0.7,0.92,56.8,Mastercard
3599,92733B,06,0306108,CORNER BRACE 4X1 HD ZINC,3.0,3.141,9.42,5.13,4.29,45.5,Mastercard
3600,92736B,06,L15-5M," L15 1-1/4"" NARROW CROWN",1.0,27.99,27.99,13.09,14.9,53.2,"CHA-97
"
3601,92739B,06,CF21006,FOAM TAPE 3/8 X 3/4 X 10,1.0,11.99,11.99,6.2,5.79,48.3,"CHA-740
"
3602,92739B,06,29126,STAINLEES STEEL WASHERS,0.02,119.99,2.4,0.58,1.82,75.8,"CHA-740
"
3603,92744A,06,J700555,JET 10mm COMBINATION WRE,1.0,10.99,10.99,6.05,4.94,44.9,Mastercard
3604,92745B,23,KEY,SINGLE KEY CUT,2.0,3.99,7.98,0.6,7.38,92.5,"CHA-740
"
3605,92746A,06,BP55102G, DOUBLE ROLLED CATCH ZINC,1.0,1.89,1.89,0.98,0.91,48.1,Visa
3606,92747B,23,EM10582CL,KRAZY GLUE 4X.05ML TUBES,1.0,8.99,8.99,4.81,4.18,46.5,"CHA-0412
"
3607,92747B,23,U-9271," DOOR KNOB 5"" PROTECTION",1.0,3.99,3.99,1.77,2.22,55.6,"CHA-0412
"
3608,92747B,23,333750," 3-5/16"" KNOB/WALL SHEILD",3.0,3.49,10.47,4.98,5.49,52.4,"CHA-0412
"
3609,92747B,23,2953," 1/2"" FLAT HEAD PLUG 25PK",1.0,3.99,3.99,1.62,2.37,59.4,"CHA-0412
"
3610,92750B,23,534500, MONO ACOUSTICAL SEALANT,6.0,6.99,41.94,24.18,17.76,42.3,"CHA-665
"
3611,92751B,06,OX-UCT-10,ULTIMATE CUTS ALL TILE 1,1.0,125.99,125.99,58.66,67.33,53.4,"CHA-0477
"
3612,92752B,23,0213611,6 MIL POLY ROLL 10'X25',2.0,29.99,59.98,32.64,27.34,45.6,"CHA-1076
"
3613,92765B,23,DOU125CF, DIABLO 1 1/4OSC METAL BL,1.0,20.691,20.69,12.13,8.56,41.4,Visa
3614,92767A,06,4100NS850,4100NS FIRESTOP 850ML,12.0,26.99,323.88,228.6,95.28,29.4,"CHA-0467
"
3615,92774B,06,DS0905FGC,"DIABLO PRUNING BLADE 9""",2.0,5.99,11.98,5.22,6.76,56.4,"CHA-1131
"
3616,92774B,06,DS0603CPC,"6"" FAST CLEAN WOOD PRUNI",2.0,10.39,20.78,12.5,8.28,39.8,"CHA-1131
"
3617,92774B,06,FLAGPINK150,"FLAGGING TAPE PINK 1""",1.0,3.99,3.99,1.64,2.35,58.9,"CHA-1131
"
3618,92774B,06,DS0903CPC,"9"" FAST CLEAN WOOD PRUNI",2.0,21.99,43.98,17.26,26.72,60.8,"CHA-1131
"
3619,92778B,06,25653,"SDS QUAD CUTTER 3/16X6""",3.0,4.99,14.97,6.03,8.94,59.7,"CHA-0346
"
3620,92778B,06,76321,T15PRO IMPACT TOR T15,2.0,3.49,6.98,3.46,3.52,50.4,"CHA-0346
"
3621,92781B,06,SC, STUCCO CLIPS,4.0,1.69,6.76,3.4,3.36,49.7,Cash
3622,92781B,06,A23Z, SIMPSON A23Z 2 X 3 ANGLE,4.0,1.251,5.0,2.8,2.2,44.0,Cash
3623,92789B,06,01-0155,NO SMOKING SIGN,8.0,1.99,15.92,5.6,10.32,64.8,"CHA-699
"
3624,92789B,06,116048135,48MMx55M BLUE TAPE SHURT,1.0,21.99,21.99,11.44,10.55,48.0,"CHA-699
"
3625,92796B,06,0824026,CARPET STRIP CONCRETE,1.0,1.19,1.19,0.57,0.62,52.1,"CHA-356
"
3626,92796B,06,TGPT14VDMX," 1/4"" H-DOOR TOGGLE ANCHR",1.0,10.49,10.49,5.79,4.7,44.8,"CHA-356
"
3627,92796B,06,1915743,U-LOCK BIKE LOCK MINTCRA,1.0,19.99,19.99,9.19,10.8,54.0,"CHA-356
"
3628,92800B,06,FRB,HEXAGONAL FLAT ROOF BASK,1.0,19.99,19.99,11.47,8.52,42.6,Mastercard
3629,92800B,06,523,PLASTIC SCREEN CLIP,17.0,0.69,11.73,6.12,5.61,47.8,Mastercard
3630,92800B,06,02-TTRC,THROUGH THE ROOF 310ML C,1.0,13.99,13.99,7.58,6.41,45.8,Mastercard
3631,92806B,06,335107, CF12005 HD FOAM TAPE,1.0,5.99,5.99,2.28,3.71,61.9,Visa
3632,92808B,06,7423536,GE SILICONE WINDOW & DOO,1.0,9.99,9.99,5.06,4.93,49.3,Cash
3633,92810B,06,FP4100NS300,4100NS FIRESTOP SEALANT,2.0,15.99,31.98,17.94,14.04,43.9,"CHA-0346
"
3634,92810B,06,OX-TC10-4.5,"4.5"" ANGLE GRINDER SAW B",1.0,13.99,13.99,5.99,8.0,57.2,"CHA-0346
"
3635,92810B,06,6239222,"4"" X 5' CONCRETE EXPANSI",1.0,7.99,7.99,4.02,3.97,49.7,"CHA-0346
"
3636,92811B,06,WWZ1MR," 1"" WOOD WASHER ZINC",1.0,3.29,3.29,1.61,1.68,51.1,"CHA-620
"
3637,92818B,23,3030, PICA-DRY AUTOMATIC PENCI,1.0,17.99,17.99,10.58,7.41,41.2,Debit
3638,92824B,23,70237,10PC SUPER HOLD DISC MAG,3.0,4.49,13.47,7.2,6.27,46.5,Visa
3639,92825B,06,D1080N," DIABLO 10"" 80T NON FERRO",1.0,101.99,101.99,61.73,40.26,39.5,"CHA-492
"
3640,92828B,06,BRASS,BRASS SCREWS BY KILO,0.07,119.99,8.4,0.33,8.07,96.1,Debit
