 07/14/2022, 09801A, 00027," 3"" ECONO PAINT BRUSH", 1.000,EACH,"4.99
"
 07/23/2022, 13615B, 00027," 3"" ECONO PAINT BRUSH", 1.000,EACH,"4.49
"
 07/12/2022, 08616B, 00382, 9'X12' 1 MIL PLASTIC DROP SHEET,1.000,EACH,"4.49
"
 07/14/2022, 09694B, 00382, 9'X12' 1 MIL PLASTIC DROP SHEET,1.000,EACH,"4.99
"
 07/06/2022, 05523A, 00387, 9'X12' 2 MIL PLASTIC DROP SHEET,1.000,EACH,"6.49
"
 07/06/2022, 05800B, 00387, 9'X12' 2 MIL PLASTIC DROP SHEET,1.000- EACH,"6.49-
"
 07/14/2022, 09694B, 00387, 9'X12' 2 MIL PLASTIC DROP SHEET,1.000,EACH,"6.49
"
 07/14/2022, 09694B, 00387, 9'X12' 2 MIL PLASTIC DROP SHEET,1.000,EACH,"6.49
"
 07/19/2022, 11731B, 00387, 9'X12' 2 MIL PLASTIC DROP SHEET,1.000,EACH,"6.49
"
 07/20/2022, 12117A, 00387, 9'X12' 2 MIL PLASTIC DROP SHEET,1.000,EACH,"6.49
"
 07/23/2022, 13896B, 00387, 9'X12' 2 MIL PLASTIC DROP SHEET,1.000,EACH,"6.49
"
 07/11/2022, 08069B, 02012, BULLSEYE 123 PRIMER 3.78L,1.000,EACH," 44.99
"
 07/19/2022, 11652B, 02012, BULLSEYE 123 PRIMER 3.78L,1.000,EACH," 44.99
"
 07/20/2022, 12278B, 02012, BULLSEYE 123 PRIMER 3.78L,1.000- EACH," 44.99-
"
 07/29/2022, 16392A, 02012, BULLSEYE 123 PRIMER 3.78L,1.000,EACH," 58.99
"
 07/09/2022, 07379B, 0241607, KRYLON H/H BLACK GLOSS 340G,1.000,EACH," 19.99
"
 07/15/2022, 10392A, 0450627, POLYURETHANE GLOSS 236ML, 1.000,EACH," 13.99
"
 07/29/2022, 16221A, 0450717, SPAR URETHANE GLOSS 946ML,1.000,EACH," 35.99
"
 07/29/2022, 16229A, 0450717, SPAR URETHANE GLOSS 946ML,1.000- EACH," 35.99-
"
 07/15/2022, 10248B, 0503642, TREMCLAD BLACK FLAT 946ML,1.000,EACH," 25.99
"
 07/21/2022, 12710B, 0503672, TREMCLAD BLACK FLAT 237ML,3.000,EACH," 35.97
"
 07/07/2022, 06495B, 0503710, TREMCLAD WHITE FLAT AERO 340G,1.000,EACH," 13.99
"
 07/25/2022, 14333B, 0503710, TREMCLAD WHITE FLAT AERO 340G,1.000,EACH," 13.99
"
 07/12/2022, 08224B, 0503722, TREMCLAD BLACK GLOSS AERO 340G, 1.000,EACH," 13.99
"
 07/20/2022, 12333B, 0503722, TREMCLAD BLACK GLOSS AERO 340G, 1.000,EACH," 13.99
"
 07/14/2022, 09694B, 0565446, HANDY PAINT PAIL LINER 6PK, 1.000,EACH,"8.29
"
 07/20/2022, 11973B, 0565446, HANDY PAINT PAIL LINER 6PK, 1.000,EACH,"8.29
"
 07/23/2022, 13894A, 0581142, LEAK SEAL CLEAR 405G, 2.000,EACH," 39.98
"
 07/30/2022, 16537B, 0581142, LEAK SEAL CLEAR 405G, 1.000,EACH," 19.99
"
 07/09/2022, 07476B, 09803," PAINTPAL POLYESTER BRUSH 1""",1.000,EACH,"2.69
"
 07/11/2022, 08070A, 09803," PAINTPAL POLYESTER BRUSH 1""",1.000- EACH,"2.69-
"
 07/16/2022, 10516B, 09803," PAINTPAL POLYESTER BRUSH 1""",1.000,EACH,"2.69
"
 07/20/2022, 11985A, 09803," PAINTPAL POLYESTER BRUSH 1""",4.000,EACH," 10.76
"
 07/20/2022, 12394A, 09803," PAINTPAL POLYESTER BRUSH 1""",1.000,EACH,"2.99
"
 07/19/2022, 11517B, 09804," PAINTPAL POLYESTER BRUSH 1-1/2""",2.000,EACH,"6.46
"
 07/22/2022, 13381B, 09804," PAINTPAL POLYESTER BRUSH 1-1/2""",2.000,EACH,"7.18
"
 07/11/2022, 08010B, 09806," PAINTPAL POLYESTER BRUSH 2-1/2""",1.000,EACH,"5.29
"
 07/30/2022, 16522A, 09806," PAINTPAL POLYESTER BRUSH 2-1/2""",1.000,EACH,"5.29
"
 07/30/2022, 16568B, 12582, #12 ROUND TIP ARTIST BRUSH, 1.000,EACH,"2.49
"
 07/05/2022, 05074A, 12MP,"12"" MASKING PAPER",1.000,EACH,"5.99
"
 07/05/2022, 05256A, 1500-1,SANSIN ENVIRO STAIN 0 BASE, 1.000,EACH," 79.99
"
 07/07/2022, 06495B, 1628866, QUICK COLOR BLACK FLAT AERO 340,1.000,EACH,"9.99
"
 07/22/2022, 13117A, 1628866, QUICK COLOR BLACK FLAT AERO 340,1.000,EACH,"9.99
"
 07/29/2022, 16393A, 1630532, CLEAR LACQUER GLOSS SPRAY RUSTO,1.000,EACH,"9.24
"
 07/25/2022, 14256B, 1661838, INVERTED MARKING PAINT PINK,1.000,EACH," 10.79
"
 07/02/2022, 04267B, 17-0490, DECKOTE SLATE GALLON, 2.000,EACH,"111.58
"
 07/05/2022, 05209B, 170550Q, DECKOTE PRIMER QUART, 1.000,EACH," 29.99
"
 07/18/2022, 10921B, 1726579, MD GROUT SPONGE SCRUB PAD,1.000,EACH,"6.29
"
 07/20/2022, 12017B, 203029,INVERTED MARKING PAINT RED, 1.000,EACH," 11.99
"
 07/09/2022, 07264A, 21467, DYNAMIC PREMIUM PRO PAINTERS KI,1.000,EACH," 20.99
"
 07/19/2022, 11843B, 21467, DYNAMIC PREMIUM PRO PAINTERS KI,1.000,EACH," 20.99
"
 07/22/2022, 13523B, 23020," 2"" TOOL BENCH PAINT BRUSH POLY.",1.000,EACH,"3.99
"
 07/19/2022, 11680B, 254933,TREMCLAD WHITE S/G 946ML, 1.000,EACH," 25.99
"
 07/04/2022, 04539B, 256184,COVER STAIN SEALER 1GAL,3.000,EACH,"179.97
"
 07/05/2022, 05440B, 256184,COVER STAIN SEALER 1GAL,1.000- EACH," 59.99-
"
 07/05/2022, 05422B, 270S26B522,TREMCLAD BLACK S/G AERO 340G, 1.000,EACH," 13.99
"
 07/13/2022, 08808B, 270S26B522,TREMCLAD BLACK S/G AERO 340G, 1.000,EACH," 13.99
"
 07/15/2022, 10108B, 33-691ARM, ARMOR ALL COPPER II 946ML,1.000,EACH," 24.99
"
 07/02/2022, 04143A, 33-701ARM, ARMOR ALL END CUT GREEN 946ML,1.000,EACH," 20.69
"
 07/21/2022, 12672A, 4014X1G, REGAL SELECT EXT, 1.000,EACH," 89.99
"
 07/19/2022, 11845B, 42321, FUSION BLACK GLOSS 340G,1.000,EACH," 18.99
"
 07/14/2022, 09694B, 4320149, 8'X12' HEAVY PLASTIC DROP SHEET,1.000,EACH,"6.49
"
 07/16/2022, 10530A, 4472825, KLENK'S EPOXY ENAMEL WHITE 946M,3.000- EACH,"179.97-
"
 07/13/2022, 09192A, 45559, COLORMAXX BROWN BOOT SATIN 340G,1.000,EACH," 15.29
"
 07/02/2022, 04375B, 45850, KRYLON MARKING PAINT YELLOW 482,1.000,EACH," 17.09
"
 07/29/2022, 16238A, 504240,CLEAR GLOSS VARATHANE PRO AERO, 1.000,EACH," 17.09
"
 07/28/2022, 15605A, 504264,CLEAR SATIN VARATHANE PRO 946ML,1.000,EACH," 26.99
"
 07/13/2022, 08858B, 504711,BUTCHER BLOCK OIL 473ML,2.000,EACH," 61.18
"
 07/14/2022, 09634B, 504792,DANISH OIL DARK WALNUT 946ML, 1.000,EACH," 21.99
"
 07/19/2022, 11731B, 5221112," SILVER TIP BRUSH 1-1/2""",1.000,EACH,"8.99
"
 07/14/2022, 09694B, 52212," SILVER TIP ANGLED BRUSH 2""", 2.000,EACH," 21.98
"
 07/19/2022, 11731B, 52212," SILVER TIP ANGLED BRUSH 2""", 1.000,EACH," 10.99
"
 07/19/2022, 11797B, 52212," SILVER TIP ANGLED BRUSH 2""", 1.000,EACH,"8.67
"
 07/14/2022, 09694B, 565437,T2010 TRAY LINER FOR T2005, 4.000,EACH,"9.56
"
 07/19/2022, 11731B, 565437,T2010 TRAY LINER FOR T2005, 5.000,EACH," 11.95
"
 07/16/2022, 10547A, 639277170583,PAINTERS BRUSH SET ART BRUSHES, 1.000,EACH,"3.59
"
 07/20/2022, 12252B, 639277170583,PAINTERS BRUSH SET ART BRUSHES, 1.000,EACH,"3.99
"
 07/26/2022, 14583B, 639277170583,PAINTERS BRUSH SET ART BRUSHES, 1.000,EACH,"3.59
"
 07/05/2022, 05209B, 670004,"1 1/2"" ABS PIPE BY THE FOOT 12'",1.000,LFT," 1.89
"
 07/05/2022, 05290B, 670004,"1 1/2"" ABS PIPE BY THE FOOT 12'",2.000,LFT," 3.78
"
 07/15/2022, 09950B, 670004,"1 1/2"" ABS PIPE BY THE FOOT CEL",6.000,LFT,"12.54
"
 07/15/2022, 09979B, 670004,"1 1/2"" ABS PIPE BY THE FOOT CEL",1.000,LFT," 2.09
"
 07/15/2022, 10402A, 670004,"1 1/2"" ABS PIPE BY THE FOOT CEL",1.000,LFT," 2.09
"
 07/16/2022, 10643A, 670004,"1 1/2"" ABS PIPE BY THE FOOT CEL", 10.000,LFT,"20.90
"
 07/20/2022, 12412A, 670004,"1 1/2"" ABS PIPE BY THE FOOT CEL",1.000,LFT," 2.09
"
 07/26/2022, 14626A, 670004,"1 1/2"" ABS PIPE BY THE FOOT CEL",4.000,LFT," 8.36
"
 07/30/2022, 16497B, 670004,"1 1/2"" ABS PIPE BY THE FOOT CEL", 12.000,LFT,"20.28
"
 07/11/2022, 07937B, 7368954, COLORMAXX OLIVE GREEN SATIN 340,1.000,EACH," 16.99
"
 07/11/2022, 07841B, 74875, 8 PIECE CAULKING TOOL KIT DAP,1.000,EACH," 14.39
"
 07/18/2022, 10976A, 761758000086,16oz BRIWAX GOLDEN OAK, 1.000,EACH," 39.59
"
 07/12/2022, 08195B, 853-10,REPLACEMENT FINISHING PADS, 3.000,EACH," 47.49
"
