        
  Feb 22, 2023                                   For Dept Code "*" -
                                From the beginning of Mar 2022 to the end of Mar 2022
                                      For customers "CASH" to "CASH" (inclusive)
                                                  Store Number: 001
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cust #  Name                        Phone
         Date         Invoice  Item Number       Description                              Qty                   Net
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cash Cu                                                                                       T o t a l 132,369.00
         0                     GLUES ADHESIVES   527.14
         03/26/2022   62076A   254933            TREMCLAD WHITE S/G 946ML               1.000  EACH           24.99
         03/22/2022   60171B   266008            2-1/2" GOOSE NECK PAINT BRUSH          1.000  EACH           24.99
         03/07/2022   54321B   270S25B522        TREMCLAD WHITE S/G AERO 340G           1.000  EACH           13.99
         03/12/2022   56885B   2762755           FURNITURE STRIPPER AEROSOL             1.000  EACH            9.99
         03/04/2022   53296B   33-691ARM         ARMOR ALL COPPER II 946ML              1.000  EACH           19.79
         03/04/2022   53532B   33-691ARM         ARMOR ALL COPPER II 946ML              1.000- EACH           19.79-
         03/11/2022   56478A   33-691ARM         ARMOR ALL COPPER II 946ML              1.000  EACH           21.99
         03/11/2022   56412B   4472825           KLENK'S EPOXY ENAMEL WHITE 946M        3.000  EACH          179.97
         03/30/2022   63598A   451701            COLORMAXX METALLIC GOLD 340G           2.000  EACH           37.98
         03/25/2022   61580B   453551            COLOR MASTER GLOSS CLASSIC GREY        1.000  EACH           16.99
         03/24/2022   61226B   45569             COLORMAXX LEATHER BROWN SATIN 3        1.000  EACH           16.99
         03/10/2022   55934B   503674            TREMCLAD FIRE RED GLOSS 237ML          1.000  EACH           10.99
         03/25/2022   61777B   504240            CLEAR GLOSS VARATHANE PRO AERO         1.000  EACH           16.99
         03/29/2022   63197B   504240            CLEAR GLOSS VARATHANE PRO AERO         1.000  EACH           16.99
         03/12/2022   56755B   504256            CLEAR S/G VARATHANE PRO AERO           1.000  EACH           16.99
         03/29/2022   63047B   5161328           SPRAY PAINT NEON GREEN                 1.000  EACH           12.59
         03/30/2022   63636B   52212             SILVER TIP ANGLED BRUSH 2"             1.000  EACH            9.89
         03/23/2022   60487A   565437            T2010 TRAY LINER FOR T2005             3.000  EACH            6.45
         03/31/2022   63780B   565437            T2010 TRAY LINER FOR T2005             1.000  EACH            2.15
         03/02/2022   52424A   670004            1 1/2" ABS PIPE BY THE FOOT 12'        4.000  LFT             7.56
         03/03/2022   52894A   670004            1 1/2" ABS PIPE BY THE FOOT 12'        4.000- LFT             7.56-
         03/04/2022   53557B   670004            1 1/2" ABS PIPE BY THE FOOT 12'        2.000  LFT             3.78
         03/07/2022   54315B   670004            1 1/2" ABS PIPE BY THE FOOT 12'       12.000  LFT            19.08
         03/07/2022   54352A   670004            1 1/2" ABS PIPE BY THE FOOT 12'        2.000  LFT             3.78
         03/18/2022   58919A   670004            1 1/2" ABS PIPE BY THE FOOT 12'       12.000  LFT            19.08
         03/18/2022   59052B   670004            1 1/2" ABS PIPE BY THE FOOT 12'        1.000  LFT             1.89
         03/25/2022   61436A   670004            1 1/2" ABS PIPE BY THE FOOT 12'        3.000  LFT             5.67
         03/25/2022   61732A   670004            1 1/2" ABS PIPE BY THE FOOT 12'        3.000  LFT             5.67
         03/28/2022   62560B   670004            1 1/2" ABS PIPE BY THE FOOT 12'        5.000  LFT             9.45
         03/30/2022   63462B   670004            1 1/2" ABS PIPE BY THE FOOT 12'       12.000  LFT            19.08
         03/07/2022   54455B   6772966           2PC CAULKING TOOL SET HYDE             1.000  EACH            4.99
