        
  Feb 22, 2023                                   For Dept Code "*" -
                                From the beginning of May 2022 to the end of May 2022
                                      For customers "CASH" to "CASH" (inclusive)
                                                  Store Number: 001
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cust #  Name                        Phone
         Date         Invoice  Item Number       Description                              Qty                   Net
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 Cash Cu                                                                                       T o t a l 170,600.46
                               UNKNOWN DEPT      69.48
         05/23/2022   85715B   0450648           POLYURETHANE SEMI-GLOSS AERO 32        1.000  EACH           21.99
         05/10/2022   80226B   0503680           TREMCLAD WHITE GLOSS 237ML             1.000  EACH           10.79
         05/16/2022   82694B   0503682           TREMCLAD BLACK GLOSS 237ML             1.000  EACH           11.99
         05/03/2022   77275B   0503710           TREMCLAD WHITE FLAT AERO 340G          1.000  EACH           13.99
         05/24/2022   85807A   0503720           TREMCLAD WHITE GLOSS AERO 340G         2.000  EACH           27.98
         05/27/2022   88129B   0503720           TREMCLAD WHITE GLOSS AERO 340G         1.000  EACH           13.99
         05/14/2022   82309B   0503722           TREMCLAD BLACK GLOSS AERO 340G         1.000  EACH           13.99
         05/24/2022   85807A   0503722           TREMCLAD BLACK GLOSS AERO 340G         1.000  EACH           13.99
         05/26/2022   87478B   0503722           TREMCLAD BLACK GLOSS AERO 340G         1.000  EACH           13.99
         05/28/2022   88549B   0503722           TREMCLAD BLACK GLOSS AERO 340G         1.000  EACH           13.99
         05/23/2022   85742B   0510292           WHITE MARKING PAINT 426G               1.000  EACH           13.99
         05/19/2022   84264B   0565446           HANDY PAINT PAIL LINER 6PK             1.000  EACH            7.46
         05/04/2022   77762B   09804             PAINTPAL POLYESTER BRUSH 1-1/2"        1.000  EACH            3.23
         05/12/2022   81173A   09804             PAINTPAL POLYESTER BRUSH 1-1/2"        1.000  EACH            3.23
         05/25/2022   86762B   09804             PAINTPAL POLYESTER BRUSH 1-1/2"        1.000  EACH            3.59
         05/31/2022   89747B   09804             PAINTPAL POLYESTER BRUSH 1-1/2"        1.000  EACH            3.23
         05/03/2022   77186A   10036             DECKOTE JOINT TAPE                     1.000  EACH           11.69
         05/31/2022   89791B   1223288           WOOSTER BRAVO STAIN BRUSH 4"           1.000  EACH           22.99
         05/20/2022   85126A   1623636           EXT VARATHANE S/G W/B 236ML            1.000  EACH           18.99
         05/12/2022   81091B   1624923           ZINSSER BULLSEYE SHELLAC AERO C        1.000  EACH           21.99
         05/24/2022   85788A   1625417           TREMCLAD ALUMINUM GLOSS 237ML          1.000  EACH           11.99
         05/20/2022   85003A   1628338           TREMCLAD GREEN GLOSS 237ML             1.000  EACH           10.79
         05/25/2022   86631B   1629799           HIGH TEMP SPRAY WHITE FLAT             1.000  EACH           15.29
         05/09/2022   79654B   1629971           TREMCLAD WHITE S/G 237ML               1.000  EACH           11.99
         05/31/2022   89747B   1629971           TREMCLAD WHITE S/G 237ML               1.000  EACH           11.99
         05/06/2022   78488B   1661838           INVERTED MARKING PAINT PINK            2.000  EACH           23.98
         05/18/2022   83640A   1661838           INVERTED MARKING PAINT PINK            1.000  EACH           11.99
         05/06/2022   78694B   1726579           MD GROUT SPONGE SCRUB PAD              1.000  EACH            6.29
         05/19/2022   84521B   1726579           MD GROUT SPONGE SCRUB PAD              1.000  EACH            6.29
         05/20/2022   85137B   1726579           MD GROUT SPONGE SCRUB PAD              2.000  EACH           13.98
         05/23/2022   85705B   1726579           MD GROUT SPONGE SCRUB PAD              1.000  EACH            6.99
         05/26/2022   87165B   1726579           MD GROUT SPONGE SCRUB PAD              1.000  EACH            6.99
         05/26/2022   87360B   1726579           MD GROUT SPONGE SCRUB PAD              1.000  EACH            6.99
         05/11/2022   80668B   203029            INVERTED MARKING PAINT RED             2.000  EACH           23.98
         05/24/2022   86046B   203029            INVERTED MARKING PAINT RED             1.000  EACH           11.99
         05/25/2022   86935B   23020             2" TOOL BENCH PAINT BRUSH POLY.        1.000  EACH            3.49
         05/30/2022   88637A   23030             3" TOOL BENCH PAINT BRUSH POLY.        1.000  EACH            5.21
         05/02/2022   76863B   256184            COVER STAIN SEALER 1GAL                1.000  EACH           45.99
         05/04/2022   77762B   256184            COVER STAIN SEALER 1GAL                1.000  EACH           45.99
         05/09/2022   79767B   256184            COVER STAIN SEALER 1GAL                1.000  EACH           45.99
         05/02/2022   76579B   270S25B522        TREMCLAD WHITE S/G AERO 340G           1.000  EACH           13.99
         05/11/2022   80978B   270S25B522        TREMCLAD WHITE S/G AERO 340G           1.000  EACH           13.99
         05/06/2022   78916B   270S26B522        TREMCLAD BLACK S/G AERO 340G           1.000  EACH           13.99
         05/13/2022   81631B   270S26B522        TREMCLAD BLACK S/G AERO 340G           2.000  EACH           27.98
         05/16/2022   82953B   270S26B522        TREMCLAD BLACK S/G AERO 340G           1.000  EACH           13.99
         05/24/2022   86085A   270S26B522        TREMCLAD BLACK S/G AERO 340G           1.000  EACH           13.99
         05/06/2022   78571B   2732956           POLYURETHANE SEMI-GLOSS 236ML          1.000  EACH           12.99
         05/09/2022   79528B   2732956           POLYURETHANE SEMI-GLOSS 236ML          1.000  EACH           12.99
         05/23/2022   85715B   2732956           POLYURETHANE SEMI-GLOSS 236ML          1.000  EACH           12.99
         05/07/2022   79376B   2762755           FURNITURE STRIPPER AEROSOL             1.000  EACH            9.99
         05/19/2022   84642B   33-691ARM         ARMOR ALL COPPER II 946ML              1.000  EACH           22.99
         05/23/2022   85724B   33-691ARM         ARMOR ALL COPPER II 946ML              1.000  EACH           22.99
         05/11/2022   80852A   33-701ARM         ARMOR ALL END CUT GREEN 946ML          1.000  EACH           20.69
         05/19/2022   84642B   33-724ARM         ARMOR ALL CLEAR COAT 3.78L             1.000  EACH           54.99
         05/20/2022   85243B   33-724ARM         ARMOR ALL CLEAR COAT 3.78L             1.000  EACH           54.99
         05/09/2022   79753B   335273            3/8"X3/16"X17' FOAM TAPE               1.000  EACH            7.19
         05/18/2022   83620B   451701            COLORMAXX METALLIC GOLD 340G           1.000  EACH           18.99
         05/07/2022   79343A   452016            COLORMAXX EMERALD GREEN GLOSS 3        1.000  EACH           16.99
         05/07/2022   79343A   453571            COLORMAXX MAMBO PINK GLOSS 340G        1.000  EACH           16.99
         05/20/2022   85103B   453571            COLORMAXX MAMBO PINK GLOSS 340G        1.000  EACH           16.99
         05/16/2022   82560B   45850             KRYLON MARKING PAINT YELLOW 482        1.000  EACH           18.99
         05/30/2022   89208B   504068            INT VARATHANE S/G W/B 946ML            1.000  EACH           36.99
         05/09/2022   79546B   504084            INT VARATHANE SATIN W/B 946ML          1.000  EACH           35.99
         05/23/2022   85701B   504136            EXT VARATHANE GLOSS W/B 946ML          1.000  EACH           35.99
         05/10/2022   80389A   504240            CLEAR GLOSS VARATHANE PRO AERO         1.000  EACH           18.99
         05/25/2022   86920B   504256            CLEAR S/G VARATHANE PRO AERO           1.000  EACH           17.09
         05/27/2022   87847B   504780            DANISH OIL NATURAL 946ML               1.000  EACH           21.99
         05/13/2022   82009B   5221112           SILVER TIP BRUSH 1-1/2"                1.000  EACH            8.99
         05/18/2022   84005B   5221112           SILVER TIP BRUSH 1-1/2"                1.000  EACH            8.09
         05/27/2022   87818A   5223X1G           AURA INT MATTE                         1.000  EACH           80.55
         05/26/2022   87301A   565437            T2010 TRAY LINER FOR T2005             2.000  EACH            4.78
         05/18/2022   83571A   623486            STAIN MARKER CHERRY                    1.000  EACH           12.59
         05/02/2022   76623B   639277170583      PAINTERS BRUSH SET ART BRUSHES         1.000  EACH            2.99
         05/07/2022   79174B   670004            1 1/2" ABS PIPE BY THE FOOT 12'        1.000  LFT             1.89
         05/07/2022   79289B   670004            1 1/2" ABS PIPE BY THE FOOT 12'        3.000  LFT             5.67
         05/12/2022   81399A   670004            1 1/2" ABS PIPE BY THE FOOT 12'        1.000  LFT             1.89
         05/16/2022   82876A   670004            1 1/2" ABS PIPE BY THE FOOT 12'       12.000  LFT            19.08
         05/19/2022   84563B   670004            1 1/2" ABS PIPE BY THE FOOT 12'        6.000  LFT            11.34
         05/25/2022   86629B   670004            1 1/2" ABS PIPE BY THE FOOT 12'        5.000  LFT             9.45
         05/28/2022   88455A   670004            1 1/2" ABS PIPE BY THE FOOT 12'        1.000  LFT             1.89
         05/06/2022   78701A   7082381           ASSORTED 3PK ARTIST BRUSH              2.000  EACH            7.18
         05/26/2022   87310A   8513335           ADJUSTABLE 12" WALL SCRAPER 4"         1.000  EACH           15.29
         05/23/2022   85704B   9127-115          MARQUIS 1-1/2" SEMI-FIRM               1.000  EACH            7.19
         05/21/2022   85431B   9129-15           MARQUIS BRUSH 1-1/2"                   1.000  EACH            6.29
         05/07/2022   79099B   AA681200          MURIATIC ACID 946ML                    1.000  EACH            7.19
         05/13/2022   81877B   AA681200          MURIATIC ACID 946ML                    1.000  EACH            7.99
         05/05/2022   78422B   AG662603          DYNAMIC DUAL ANGLE SPONGE MEDIU        1.000  EACH            3.99
         05/07/2022   79067B   AG662603          DYNAMIC DUAL ANGLE SPONGE MEDIU        1.000  EACH            3.59
         05/09/2022   79547A   AG662603          DYNAMIC DUAL ANGLE SPONGE MEDIU        1.000  EACH            3.99
         05/23/2022   85714B   AG662603          DYNAMIC DUAL ANGLE SPONGE MEDIU        1.000  EACH            3.99
         05/02/2022   76506B   AG662605          DYNAMIC DUAL ANGLE SPONGE MEDIU        1.000  EACH            3.89
         05/07/2022   79258B   AG662605          DYNAMIC DUAL ANGLE SPONGE MEDIU        1.000  EACH            3.50
         05/11/2022   80603B   AZ340200          DYNAMIC NO SLIP COMPOUND               1.000  EACH            7.19
         05/11/2022   80603B   AZ340200          DYNAMIC NO SLIP COMPOUND               1.000  EACH            4.99
         05/16/2022   82744B   C81004            PICKLING WHITE STAIN OLD MASTER        2.000  EACH           75.98
         05/18/2022   83628B   C81304            CEDAR STAIN OLD MASTERS 946ML          1.000  EACH           34.19
         05/18/2022   83887A   C81404            SPANISH OAK GEL STAIN OLD MASTE        1.000  EACH           37.99
         05/23/2022   85712B   C81404            SPANISH OAK GEL STAIN OLD MASTE        1.000  EACH           34.19
